,question_cleaned
1311,vice presidential spouse penned myra breckinridge
1312,losing senate seat john f kennedy made u representative united nation
1313,another name coccyx
1314,naocl sodium hypochlorite common laundry product
1315,like human redvented bulbul bird need dietary source vitamin also called ascorbic acid
1316,read warrior woman greek mythology notice dont com name
1317,france perkins trying improve working condition kathie lee
1318,scientist switzerland created atom substance may exist naturally universe
1319,number dark patch visible sun surface varies several hundred
1320,word completes title musical day hollywood night
1321,interior flowerlike vegetable preferred kurtz joseph conrad novel
1322,howled beautiful moon
1323,mowglis song people appears author second jungle book
1324,writer federalist paper new yorkers virginian
1325,novel son lover miriam based close friend jessie chamber
1326,classic chaucer work adapted tv scifihorror anthology series
1327,tom canty born slum called offal court edward tudor title character twain novel
1328,flaneur french term kind lazy person also type shoe
1329,contrary name yellow mustard brand introduced american
1330,acre soil contains billion nematode round type seen microscope
1331,reclusive girl star pen book like gravity rainbow spare time
1332,bushrod favorite nephew president became supreme court justice
1333,sound repetition reflection
1334,ford madox ford novel series parade end set war ford shellshocked
1335,like dicotyledonous plant network carry food water
1336,hemingway novel robert jordan fall love maria
1337,paul simon hit turn environmentalist exvice president
1338,bivalve main ingredient french dish moules mariniere
1339,new york state occupied native american confederacy
1340,total value good service produced country period time prominently displayed film
1341,jimmy clue crew delivers clue though top book appears suspended air half weight stack rest table principle used build type bridge
1342,definition carnivore eats
1343,set part philadelphia hugh wynne free quaker novel war
1344,stage youre making enough cover cost basketball player run offense
1345,new deal refers economic recovery social reform implemented u president
1346,projection southern tip south america also called cornucopia
1347,brand reclining chair never made past tenderfoot
1348,arthur st clair became first governor vast territory north ohio river
1349,night april u warplane bombed tripoli benghazi african country
1350,eighth un secretarygeneral who oscarwinning song breakfast tiffany
1351,royal tyrrell museum ology complete dinosaur skeleton
1352,kelly clue crew indicates diagram monitor instead running around curve save stride run straight line touch curve latin touch
1353,commodore became friend japan showing telegraph daguerreotype camera
1354,musical former general manager lakers join jet take shark
1355,stratigraphy branch science
1356,mass number defined number neutron particle atom nucleus
1357,aug boston faneuil hall great orator delivered eulogy jefferson adam
1358,congress allocated string one baltimore washington completed
1359,also known epinephrine hormone secreted response stress like fear injury
1360,year darwin published natural selection theory man published law genetics
1361,war opposed copperhead
1362,french call musical instrument la petite flute
1363,state reagan didnt carry one mondales home state
1364,wonderland alice come across large one snooty caterpillar atop
1365,turgenev family novel country music act sang tumbling tumbleweed
1366,branch study bird actually bird
1367,flaubert led movement french literature also called naturalism
1368,sarah clue crew show map new england monitor may discourage attack dutch others united colony new england formed puritan colony massachusetts bay connecticut new one
1369,kelly clue crew performs experiment clay sharp pencil horseshoe magnet make simple one devicesyou dont even need needle
1370,sylvia plath novel first published pseudonym victoria lucas
1371,gen charles lee relieved command ordering retreat new jersey battle
1372,face could launch thousand ship stir teen heart summer place
1373,kleptophobia fear wanted time youd kleptomaniac
1374,novel bill sikes kill nancy
1375,letter term jug poohs favorite stuff wax structure queen bee build store nectar
1376,wrote emma one half world cannot understand pleasure
1377,botticelli painting serenas sister brought forth shell
1378,jane austen novel begin family dashwood long settled sussex
1379,novel richard wright tell bigger thomas product chicago slum
1380,alaska became organized u territory state joined union
1381,thought internal explosion mine caused ship sink havana harbor
1382,president grant proclaimed city site centennial exposition
1383,syllable used third tone major diatonic scale
1384,watermelon pumpkin sunflower one toasted like nut served hors doeuvres
1385,april president wilson told congress world must made safe
1386,cod stamped package stand
1387,type dance share name something might serve chip
1388,gi joe introduced supposed one native american code talker wwii
1389,supreme court decision slavery case helped bring civil war
1390,greek number science number
1391,abbey road tune becomes china nationalist party leader
1392,msdos bak file extension meant file type
1393,antifederalists opposed ratification document
1394,crepe ring transparent c ring planet ring system
1395,newsman long career included driving marguerite oswald see son custody nov
1396,kelly clue crew demonstrates key weigh much paper clip fall ground pencil act support pulling clip sideways gravity friction stop key descent
1397,charles n haskell muskogee became new state first governor
1398,battle capital wehrmacht advancing retreating
1399,usa shortestserving president found time play han solo
1400,super freak singer who licensed kill agent
1401,title famous anita loo work state prefer blonde
1402,jimmy clue crew report classroom meaning right angle refer slanting abdominal muscle geometric angle like
1403,republican campaigned president promising chicken every pot
1404,collaborated exwife margaret bourke white documentary god little acre
1405,pb talk show master becomes annual pasadena football classic
1406,word rubber come discovery stuff could used rub mark made
1407,small population blue whale seen famous canadian river
1408,compromise allowed maine admission union free state slave state
1409,letternamed moon jupiter volcanically active body solar system
1410,heloise clean bowl pouring cola gone flat letting soak hour
1411,anna karenina originally published installment
1412,lean smallboned person ectomorph endomorph round type muscular
1413,though work uncertain nobel prize physic principle
1414,seed germinates radicle break grows downward become part plant
1415,ymca found indoor version soccer rugby violent invented basketball
1416,becoming chief justice secy foreign affair continental congress
1417,chapter herman melville novel entitled jonah historically regarded
1418,ringmaster talk show host sporting dog
1419,minister mexico authorized president pierce buy border land railroad
1420,third century bc principled greek showed value pi
1421,graafian follicle gland contain female reproductive cell
1422,focal length distance center one focal point
1423,cant go thomas wolfe title
1424,alex here cheryl waldorfastoria hotel new york november allied council adjourned peace talk waldorf dinner
1425,mercedes castile lesserknown novel author leatherstocking tale
1426,sang motley crue hed teamed crosby still nash
1427,ferrovanadium alloy vanadium metal
1428,sitcom dad ricky david became president south africa
1429,dick graysons mentor took danke schoen top
1430,since color border cover national geographic
1431,frequent whats line panelist vocalizing equine film series
1432,swedish biologist introduced binomial nomenclature
1433,garden eden plant memoir mark twain day steamboat pilot
1434,many sweatglands number lacrimal gland
1435,term edible endospermic seed ear corn
1436,became clerk pennsylvania assembly
1437,ernest hemingway story author awaits death african safari
1438,john gray planetary relationship book tennis u open
1439,became first comet studied men space
1440,manly men know main androgen
1441,thomas hardy novel bathsheba everdene first published anonymously
1442,museitas waltz highlight composer opera la boheme
1443,section typical orchestra includes musician
1444,element called natrium latin hence symbol na
1445,jon clue crew point two diagram earth tilt monitor tilt earth axis summer winter solar panel united state facing direction receive sun
1446,formulation einstein equation
1447,kelly clue crew report new york central park central park literary walk feature robert burn great novelist countryman sculpted john steell aberdeen
1448,star bourne supremacy penned guy doll
1449,astrologically january begin sign end aquarius
1450,novel dartagnan native gascony described quixote
1451,worker using radium make glow orange nj factory resulting health problem
1452,israeli scientist claimed created ball type stormy phenomenon using microwave oven
1453,brutal russian czar who phase toddlerhood marked tantrum contrary behavior
1454,round glove worn baseball backstopper run president mormon exmass governor
1455,june james clark ross discovered compass needle holding pointed straight
1456,kelly clue crew delivers clue science lab heat lamp cause snake dance hot air less fiveletter term cold air therefore rise spin snake
1457,butch cassidys sidekick extreme tact delicacy
1458,computerese vaccine program seek destroys
1459,attribute proceeding psychotic effect ergot poisoning
1460,un secygeneral became first international guest president clinton second term
1461,bullet head heavy metal rap band thats weapon perfected richard gatling late th century
1462,cryobiologists interested living matter preserve future use
1463,financially want avoid color ink mean deficit
1464,he called father modern rocketry
1465,prefrontal medical procedure involves destruction section brain cortex
1466,dec american patriot dumped chest tea city harbor
1467,wrote many short story surprise ending including gift magi
1468,th c norwegian wrote incidental music bjornstjerne bjornsons play sigurd jorsalfar
1469,joined boston symphony violinist began conducting
1470,british politician nobel prize biographical historical work oratory
1471,nickname alaska sweden perpetual daylight becomes father modern china
1472,california cheddarlike cheese becomes small terrier dog breed
1473,prebirth procedure small amount fluid withdrawn sac uterus tested
1474,edith wharton title character hypochondriac wife named zenobia
1475,boxing promoter whose boy lost fight american colony
1476,william jennings bryan called theory program infidelity masquerading name science
1477,character first literary appearance tragic drama seducer seville
1478,men name publius wrote federalist essay urging ratification constitution
1479,metric measurement millimeter equal
1480,shock researcher walter cannon coined word organism ability maintain internal equilibrium
1481,archipelago group island ring coral island like bikini pacific
1482,gulliver travel swift described type creature unteachable brute
1483,denver newspaper given pulitzer prize meritorious public service
1484,date last official u census fooling
1485,kid song line fly buttermilk shoo hulk shoo
1486,bouncy beatles album took cornelius host dance show
1487,discovered nitroglycerin absorbed inert substance wouldnt explode shock
1488,hamlet famous one speech includes following line whether ti nobler mind suffer sling arrow outrageous fortune take arm sea trouble opposing
1489,despicable former leader cambodia saying devastated country
1490,dec first group u marine arrived african nation restore order
1491,kingdom system made animal bacteria plant protist
1492,food co vtonly stock offering per share unilever bought co per share
1493,kerouac classic thats wile e coyote nemsis
1494,blonde casino actress serf rock associated coronation scottish king
1495,malcolm lowerys volcano set mainly country
1496,term genial sociable person follows hail fellow
1497,disney musical pretty girl named belle hideous camel
1498,warm dry wind raise temperature base rockies much f hour
1499,third law thermodynamics implies system never brought temperature point
1500,rundown mexican hotel setting night iguana play writer
1501,southern california spanish mission town became first lady first mom
1502,day night always hour long
1503,story set future hg well first novel
1504,cure parkinson scientist trying cell graft part body
1505,long disputed israelipalestinian land area thats minishopping complex
1506,modern novel biblical title include jane hamilton book ruth toni morrison song
1507,spielberg wwii movie tatum dad
1508,court massachusetts ordered colledgeto bee built cambridg called
1509,due expansive pork processing facility city ohio river known porkopolis
1510,wwii america st major victory japan naval battle mile hawaii
1511,part willa cather novel entitled wild land
1512,perhaps salome danced crocodile rock demanding head singer voice wilderness
1513,year exploring northwest william clark named gov louisiana territory
1514,luke howard coined name type including cumulus stratus
1515,echocardiography tell whether doublespeak heart issue caused abnormal valve
1516,john smith among early member council seven governed virginia colony
1517,kentucky virginia resolution passed opposition act
1518,natasha rostova marries pierre bezukhov classic tolstoy novel
1519,th th body part form cage articulate single vertebra
1520,novel rhett butler tell toad rat mole dear dont give damn
1521,north northwest star painted american gothic
1522,havana brown cat named coat resembles color
1523,simple one consists small weight swinging fro end string
1524,he losing civil war general rebuilt actor played six million dollar man
1525,novel compulsion based story duo defended darrow
1526,horny casing toe ungulate called
1527,typical snowflake many side
1528,eyepoking skullbashing brother curly shemp quirky millionaire flew spruce goose
1529,raul rodriguez famed designer he often seen riding one january st pet macaw
1530,african american u nearly twice percentage u troop war
1531,called fiddler three help compose night day
1532,many dublin locale personally frequented featured book ulysses
1533,pig bowl california charity football game people occupation
1534,boiling water energy absorbed escape vapor type heat latin latere hide
1535,creole concoction meat seafood good hank williams wrote song
1536,novel sun also rise published england fiesta
1537,area asked separate coahuila become mexican state
1538,latin betrothal marriage partner either husband wife
1539,jinks cat hated mouse country girl group piece
1540,karol wojtyla pope frank sinatra hit song
1541,fatty matter wall artery buildup matter tooth
1542,seafood salad dungeness crustacean chili sauce thats nicknamed satchmo
1543,mark mcgraths rock group thats tv sitcom actor everybody love
1544,rex stout character love gardening gourmet food stout
1545,author introduced detective mike hammer jury
1546,looking glass humpty dumpty explains alice meaning nonsense poem
1547,island nation may named peak one island something smoked native
1548,part massachusetts riot soldier branded thumb
1549,baskinrobbins treat used top secret discussion get smart
1550,october eisenhower vowed go country week later
1551,psychedelic dark side moon rocker twice crowned heavyweight boxing champion world
1552,astronomer got closeup look object nucleus looked like big potato
1553,welltraveled airline passenger reward go legendary jazz trumpeter
1554,first term president bill right became law
1555,star film elmer gantry who city conestoga river
1556,latin body freemoving cell erythrocyte leukocyte
1557,became first italianamerican sit supreme court
1558,novel begin father family name pirrip christian name philip
1559,tale flopsy bunny followup story peter rabbit benjamin bunny
1560,first name director marshall garrys sister
1561,shrapnel munition storage plant explosion jersey city nj damaged famous statue
1562,enzyme saliva called ptyalin convert maltose sugar
1563,british approached concord militia didnt know skirmish place earlier day
1564,may commodore dewey defeated spanish pacific fleet battle philippine bay
1565,flight attendant u airline wore gay russian cossack costume
1566,walt whitman poem duo sang love keep u together
1567,john alden last surviving signer
1568,button said like ike man
1569,magnetism occurs strongly element nickel cobalt
1570,collaboration milan kundera jeanpaul sartre massive treatise existentialism
1571,natural vanilla flavoring come tropical flower
1572,stalklike part stamen threadlike conductor light bulb
1573,depiction dinosaur cretaceous period seen
1574,iron human form transport molecular oxygen lung body
1575,bigscreen samson actor who tv rating indicating program adult
1576,fleeing capital august took gilbert stuart portrait washington
1577,fire destroyed volume collection
1578,heavenly body prominence include dark filament cloud gas
1579,thomas savery designed first practical engine run power
1580,melville great white whale who current vice president united state
1581,expression come medieval custom placing lip signature signing document
1582,australian golfing great stormin iraqi desert
1583,cubic inch material contains million billion billion proton neutron nucleus
1584,lifetime membership u duffer association missing first golf ball swung moon
1585,flaubert title character commits suicide mounting debt lie told husband charles
1586,agnus dei refers christ actually mean lamb
1587,robert hooke described named structural unit bacteria one
1588,month observer see heavenly body surface
1589,president political enemy referred beast buffalo
1590,organ contains million nephron filter blood
1591,jaundice symptom liver disease type b c
1592,horseshoe crab coelacanth fish considered living one
1593,ancient hebrew measure equal quart sound like synonym taxi
1594,samuel adam referred april battle said glorious morning america
1595,letter term refers period readjustment rebuilding civil war
1596,general ordered trader arrested executed inciting seminole indian
1597,edition book cover crab imported great britain usa
1598,hull house founder first woman receive honorary degree yale
1599,ayn rand book end ocean sky figure howard roark
1600,intel announced new faster chip design replacing silicon element symbol hf
1601,first seen human cell exact number determined
1602,early collection story include flapper philosopher tale jazz age
1603,shanghai found nobel prize physic
1604,polarized lens one method used item make movie theater experience exciting
1605,psychologist refer sense olfaction
1606,novel daisy miller open trois couronnes hotel vevey switzerland
1607,good wife second part novel aunt march dy leaf home plumfield jo
1608,permanent removal unwanted hair destroying root electric current
1609,though pleasant kiss plant poisonous eat
1610,hull house founder helped establish womens international league peace freedom
1611,president collapsed september one week later suffered stroke
1612,poet may lose finger toe bitter cold condition stopping wood snowy evening
1613,coldplay singer known portraying jiminy glick
1614,latin name argentum ag chemical symbol metallic element
1615,early draft heroine novel named pansy family home called fontenoy hall
1616,youre studying mensuration youre studying
1617,run run fast cant catch folk tale play end death sir thomas
1618,th c feminist catharine beecher wrote american woman home famous sister
1619,kelly clue crew try sell cell sony headquarters tokyo japan w multimedia phone combine sonys multimedia like digital tv phone technology ericsson based country
1620,contrast hydrosphere term rocky part earth crust
1621,quintessential new englander published first book poem boy living england
1622,eeg record electrical activity organ
1623,book democracy america frenchman predicted present age superpower
1624,mass particle travel mile per second
1625,alfalfa long one primary root older plant go foot
1626,part caribbean diurnal cycle one high one low day thats
1627,equivalent german uboat
1628,novel javert say brigand convict called jean valjean got
1629,pillow talk star preschool
1630,may supreme court gave acre island new jersey acre new york
1631,daniel webster resigned president secretary state
1632,jon clue crew give clue playing bass music describes tone lowered halfstep pitch like go
1633,division horoscope known homey name
1634,galileo said done gravity experiment dropping weight tower
1635,january president pardoned several thousand vietnam war draft evaders
1636,became first state pacific coast admitted union
1637,stevenson twofaced physicianmonster relaxes fdr new york estate
1638,mild white california cheese terrorized england
1639,supreme court said whose religious belief prohibit dont recite
1640,al gore environmental film thats drug administered get subject spill bean interrogation
1641,told joint session congress tried duty god gave light see duty
1642,president farewell address warned influence militaryindustrial complex
1643,one last collection tale uncle remus little boy published posthumously
1644,next sequence pentagon hexagon heptagon
1645,john galsworthy work man property first series novel
1646,actor portrayed gomez addams film master art french cooking
1647,peary goal primo spot nascar race
1648,bonnie tyler hit song marlows search mr kurtz belgian congo
1649,steinbeck novel lennie nightmarish vision dead aunt clara gigantic rabbit
1650,jon clue crew stand next statue harbor copenhagen denmark author said little mermaid one story felt moved wrote
1651,end uncle tom cabin sadistic slave owner dy insane
1652,james cain novel filmed twice written title barbq
1653,died day duel aaron burr
1654,dean wormer always trying shut member institution
1655,measured ohm r ohm law vir
1656,grimm story
1657,national air space museum planetarium named germanamerican physicist
1658,measured rad
1659,never liked long walk say heroine charlotte bronte novel
1660,schopenhauer wrote halve right double duty never
1661,ganymede callisto largest moon largest planet
1662,sweden u honored award th anniversary set postage stamp
1663,traditionally ballet suite en blanc performed without scenery costume color
1664,daniel defoe title character tart wife thief convict grew rich lived honest
1665,einstein said measurement depend whether observer moving absolute
1666,sling blade actor chronicled bridge san luis rey
1667,event made california trail traveled pioneer road
1668,variety simple plant include red brown green bluegreen
1669,scientist discovered oxygen called dephlogisticated air
1670,part robert louis stevenson tale take place sinister house called laboratory
1671,edgar allan poe story concern masked ball unusual magnificence
1672,wrote odyssey book
1673,arctic organism consisting alga fungus may year old
1674,babbitt author published st novel hike aeroplane pseudonym tom graham
1675,call wild judge miller gardener kidnaps dog sell
1676,situation seen black move result draw
1677,rowing team personnel serving aboard ship
1678,th u president changed career became bigscreen james bond
1679,danish fairy tale author wrote autobiography called fairy tale life
1680,time take largest planet go around sun earth gone around time
1681,newly baptized star heather true romance
1682,th c author known writing venerable mansion seven acutely peaked gable
1683,film luke skywalker us force struggle royal house york lancaster
1684,goto surname young osakaborn violinist known single name
1685,boston celtic legend who flesheating avian like hawk vulture
1686,hanging civil war troop sang abolitionist body mouldering grave
1687,book libbie hymans volume study spine definition creature dont
1688,paper electrodynamics moving body contained special theory relativity
1689,though said found dueling abhorent participated one
1690,dubliner collection short story irish author
1691,july missouri senator withdrew mcgoverns running mate earlier psychiatric care
1692,atlas shrugged atlas maker
1693,shawnee chief brother prophet defeated battle william henry harrison
1694,sarah clue crew report spin frisbee keep stable flight illustrating angular
1695,work unvanquished sartoris family cope civil war
1696,space telescope provided first picture charon completely separate pluto
1697,scientist john dalton suffered redgreen type
1698,author man would king called perfect short story
1699,z stand zip code
1700,william dayton became first vice presidential candidate new party
1701,kelp especially rich source halogen
1702,eb white spun tale spider pig
1703,sondheim musical seurat painting democratic presidential nominee
1704,one simple machine made using wheel rope
1705,star nacho libre becomes form extortion
1706,lerner loewe musical lovely insect fly away home
1707,charles schulz said snoopy didnt become lead character began walking way
1708,constellation taurus cancer contains famous nebula
1709,luxurious legwear movie musical starring fred astaire didnt wear
1710,swedishborn john ericsson designed st ironclad revolving turret
1711,leora wife sinclair lewis doctor dy bubonic plague island st hubert
1712,pulp fiction star might royale drip canvas artist late
1713,jose saramago became first writer language win nobel prize literature
1714,fahrenheit equivalent centigrade
1715,go next piece berlin wall buy lump coal ship sank
1716,english title part novel la recherche du temp perdu proust
1717,french novel begin mother died today maybe yesterday cant sure
1718,foreign xray scanner may ruin roll keep special leadlined bag
1719,good ship lollipop singer visit indiana jones second movie
1720,mammal hold record longest lifespan
1721,kipling orphan father sergeant irish regiment punjab
1722,female elk moose reindeer one antler
1723,th century work divided section inferno purgatorio paradiso
1724,character writes tom found money robber hidwe got six thousand dollar apiece
1725,form oxygen major source air pollution
1726,wamba brave jester risk life save master cedric sir walter scott novel
1727,plain ease valley humiliation country conceit appear john bunyan work
1728,prior election tennessee legislature frontiersman justice peace
1729,nixon running mate named chief negotiator paris peace talk
1730,decade saw freedom summer freedom rider
1731,final chapter scarlet letter say tombstone bore letter
1732,tragic shakespearean play montague tv nanny
1733,knight tale th century author based boccaccio poem teseida
1734,dimensional figure set point equidistant center point
1735,morgan freeman film drive webfooted bos boyfriend donalds house
1736,formulated nacl chemical name common table salt
1737,general nicknamed old fuss feather replaced ari fleischer white house press secretary
1738,california th district seat part implying democrat jerry voorhis communist tie
1739,surface type element anodized
1740,name disorder bone become porous come greek bone passage
1741,august david farragut barreled full speed ahead alabama bay defeating confederate navy
1742,official country admitted printed false map year fool enemy
1743,cemetery hamburger meat
1744,life subject book world without sun
1745,meursault rather cold effectless narrator camus novel
1746,doubt sang thank turning light thank youre organism life host
1747,british gal singer bleeding love wrote alice wonderland
1748,arthur mitchell karel shook cofounded dance theatre place
1749,basic form game player get card horizontal row number
1750,acme thunderer one used many sport referee
1751,ingredient witch potion macbeth thats body part house speaker
1752,oxford graduate hugh grant played student british university comingofage film maurice
1753,whole lot shakin go science deal almost exclusively earthquake
1754,published spain classic world literature instant hit
1755,jimmy clue crew report ski slope colorado snowshoe keeping sinking distributing wide area
1756,wrote line road city emerald paved yellow brick
1757,british archaeologist last dig one put putney vale cemetery egypt
1758,soldier frontiersman important victory british northwest territory
1759,extreme righthand door st peter opened type year come next
1760,one added pm edt june
1761,area thats state indiana acquired war
1762,went england husband john infant son
1763,title animal associated volpone reynard
1764,simon garfunkel hit song tied unable speak
1765,roll beatles album thats prestigious french cycling race
1766,hg well novel first martian spaceship land near town woking
1767,last chapter charlotte bronte novel begin word reader married
1768,final scene rebecca stately mansion maxim de winter burn
1769,bookofthemonth club call dostoyevsky work greatest crime novel ever written
1770,english title isabel allendes novel la casa de los espiritus
1771,th state longs room one
1772,chapter louisa may alcott novel entitled amys valley humiliation
1773,bill cosby cartoon character published theory relativity
1774,charlemagne dad prepares meal lunch counter
1775,hillary clinton nonfiction book need town fool
1776,escaped slave draft dodger mainly headed country
1777,national conference two religious group sponsor brotherhoodsisterhood week
1778,launched soviet st living creature orbit earth one
1779,theyre also called erythrocyte
1780,pastism presentism futurism literary movement began around
1781,aug cornerstone landmark pedestal laid bedloes island
1782,spanish fountain youth searcher heavyweight title
1783,hero tippecanoe defeated tecumseh thames river canada
1784,houston rocket center ruled china
1785,russian goldsmith first made prized enameled jeweled mcdonalds breakfast sandwich
1786,son kingsley doyle killed world war became devoted spiritualist
1787,dick clark dance show featuring u citizen misbehave abroad
1788,u troop sacked pensacola marched spanish territory soon
1789,deneb brightest star constellation whose name mean swan
1790,may colony founded cecil calvert made anglican church official church
1791,wac womens army corp created war
1792,tainted love band pocket communicator
1793,science matter energy involves optic acoustic thermodynamics
1794,seen religious art mandorla aureole light shaped like nut used marzipan
1795,asked wore falsie sex symbol said know better know better
1796,often quite expensive considered strongest natural fiber
1797,first people win nobel prize literature continent
1798,final regret regret one life lose country
1799,inventor opened pearl street power station new york
1800,inert gas alters voice sound travel twice fast air
1801,begin ancient city londona boy born poor family name canty
1802,pen name short story writer william sydney porter lived wood shore walden pond
1803,consisting atom water example triatomic one unit
1804,word conical deposit found cavern come greek stalassein meaning drip
1805,patch camping accident guide along oregon trail
1806,san antonio spur admiral marooned daniel defoe
1807,bleeding kansa named violence issue
1808,spin city star know truth
1809,universe background radiation thought left primordial event
1810,mineral readily identified taste halite type taste
1811,principality switzerland joined custom union
1812,defoe novel companion described comely handsome fellow
1813,former mayor washington dc cant smile without copa copacabana
1814,february u battleship maine blew cuban capital harbor
1815,commonly used title clergyman mason weems known biography george washington
1816,longfellow based tale inn red horse inn sudbury massachusetts
1817,serving cabinet post edward r stettinius jr signed un charter u june
1818,first permanent english settlement america named british king
1819,july state legislature met white plain ratified declaration independence
1820,receptor ear fundamental force get upset youre weightless
1821,chapter hawthorne classic titled pearl
1822,next length scale geological time age epoch period era
1823,latin put place kind teacher may get hard time class
1824,big screen civil war saga take place aerodynamics test chamber
1825,man ambassador extraordinaire american colony great britain
1826,raymond chandler private eye introduced novel big sleep
1827,tragically member indian tribe died forced march known trail tear
1828,world oldest teenager who chocolatecoated candy peanut butter center
1829,nd u suborbital flight mercury capsule liberty bell sank atlantic upon splashdown
1830,wrestler played fezzik princess bride huge cephalopod menace peter benchley beast
1831,one meter equal
1832,imported brazil africa killer insect escaped lab bred local
1833,sarah clue crew report uc santa cruz membership program uc santa cruz aquarium named sea type creaturenot confused banana type university mascot
1834,bank official joseph k defensive accused kafka work
1835,secretary state john hay proclaimed welcoming policy preserve u trading right china
1836,president made clean sweep white house including carpet
1837,type rain form nitrogen oxide sulfur dioxide react within growing droplet
1838,potato famine million emigrated country u mids
1839,pulitzerwinning book grew herman wouk experience wwii destroyerminesweeper
1840,illustration facing title page book
1841,cumberland fall southeast state called niagara south
1842,dogpatch resident claim invented baseball
1843,pair explored area mississippi river mouth columbia river
1844,november former leader ccr acquitted plagiarizing
1845,december presidentelect visited front line korean war
1846,dimitri mendeleyev made modern chemistry possible set grouping element
1847,supreme court separate equal decision who hall fame pitcher cub ranger
1848,caused lack niacin pellagra termed type deficiency disease
1849,dimension einsteinian spacetime continuum time length width
1850,jimmy clue crew explains chemical reaction chemical reaction food coloring bleach contains chemical naclo turn color liquid colorless compound
1851,wonder grandfather adding machine inventor would thought naked lunch
1852,descartes suppressed book world supported idea italian
1853,say jesse james man gang raided lawrence kansa
1854,store include man man would king
1855,peace garden state hit silver screen young actress charlotte web
1856,outdoor magazine say like meyou really like
1857,without effect average temperature earth would degree
1858,line distance sky meet land sea
1859,robin hood companion provides color fox nfl game pat summerall
1860,kelly delivers clue lab normally ice cube float one however sink right bottom made heavy water standing isotope
1861,kansasnebraska act repealed compromise
1862,atom lightest element make universe
1863,reach eastern market texas drover brought cattle kansa via trail
1864,name language language igpay atinlay
1865,cake rise oven baking powder yeast batter produce gas
1866,classic bette davis movie chronicling life tv star played jan brady
1867,kelly clue crew present clue intense magnetic field block heat core solar phenomenon thousand degree cooler surrounding surface
1868,though initial name telecom giant get one stock symbolt
1869,brother daffy nl strikeout leader served truman secretary state
1870,grand ole opry star say howdeeeee join eddie vedders band
1871,people live trailer rv might demand right selfgovernment
1872,popular saxplaying war action figure
1873,wwi sale liberty whose poster showed statue raised billion
1874,gop senator ohio sponsored antitrust act silver purchase act
1875,singular form word bacteria
1876,whats known second program began fdr january message congress
1877,portland coach maurice cheek got assist game yearold girl forgot
1878,wwii british king queen elizabeth became st british monarch visit u
1879,elizabeth barrett browning gave volume sonnet robert year eloped
1880,never found chemical compound noble gas neon argon helium called
1881,scorsese bruising drama minor leaguers kevin costner jake la motta
1882,ellen glasgow native virginia capital set several novel called queenborough
1883,fred flintstone catchphrase style singing popular
1884,jimmy jeopardy lab coat delivering clue time take simple nail coil wire around connect battery turn attractive letter item
1885,frenchnamed pit viper rode top pro cycling circuit beating cancer
1886,neewollah festival holiday observed year independence kansa
1887,term mechanical device also organization running city politics like nycs tammany hall
1888,original italian title umberto eco novel il nome della rosa
1889,vladimir nabokov translated alice wonderland language
1890,written ravine one russian playwright finest story
1891,man chief justice u he also eminems real name
1892,robert browning wrote along best yet
1893,late largest north carolina city usa chief source gold
1894,journeying mile pair expedition finally reached pacific ocean november
1895,longtime tonight show host whose heart lonely hunter
1896,dickens divided book stave instead chapter stave iv called last spirit
1897,jon clue crew suck straw sealedup bottle marshmallow inside marshmallow bottle expand suck straw property inside bottle decrease
1898,according burn steinbeck best laid scheme gang aft agley
1899,redheaded stranger road first black president south africa
1900,land animal largest teeth
1901,charles dickens tale two city take place struggle
1902,jimmy carter achy breaky secretary state
1903,main cause jump national debt million
1904,seems late researcher announced new one body part sphenomandibularis
1905,silver iodide silver bromide sensitive hence use photography
1906,drug marketed motrin patented great britain
1907,political slogan state go go nation date back
1908,cheery first masterpiece theatre season included jude obscure russian possessed
1909,synonym lie well type tale told aesop
1910,belle dump hirsute suitor cargocarrying camel disney tale
1911,island first year u commonwealth resident moved mainland
1912,childrens story describes toad hall dignified old house mellowed red brick
1913,contemporary virtuoso cellist whose boy robbed bank
1914,politician often complain make appearance unappetizing poultry circuit
1915,keep foot ground keep reaching star disk jockey tv radio signoff
1916,tomboyish schulz creation kidnapped sla
1917,dee snider band sang gonna take caroline meeber dreiser novel
1918,letter word cooperation partner leading smoother political sailing
1919,hmm dedicated poem witch atlas wife mary
1920,sugar alcohol starch formed different combo element
1921,georgia became st state lower voting age
1922,ordinary viral infection nose throat symbolized conflict u russia
1923,nickname given wwii backyard vegetable patch
1924,thomas jefferson took office march river formed western u boundary
1925,president signed legislation returning railroad private ownership
1926,type horse race began contest toward church tower
1927,pitcher look doesnt like see he shaking
1928,september peole killed day riot new york prison
1929,review said william styron novel belongs small shelf reserved american masterpiece
1930,darwin defined preservation favorable variation rejection injurious variation
1931,death son led write history spiritualism last sherlock holmes book
1932,elvis sings rockahula baby steve mcgarrett say book em dano musical cop show
1933,bob keeshans tv persona unfairly tried type tribunal
1934,exmrs spielberg composed god bless america
1935,milediameter planetoid called quaoar found billion mile past milediameter planet
1936,guerrilla leader francis marion earned nickname daring raid south carolina marsh
1937,cocci live pair theyre called diplococcus cluster staphylococci chain
1938,supreme court chief justice lucky enough marry annette bening
1939,le chatiments group satirical poem attacking napoleon iii creator quasimodo
1940,deuterium atom hydrogen atom keeping proton company nucleus
1941,basic ingredient glass derived sand flint quartz
1942,isaac newton found strength depends thing mass distance
1943,winner may awakened stockholm grand hotel swede st lucias day costume
